hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
3182,6179267,CrunchyTooth,2791,12132,,1891,yes,4953,1198,,2,4,0,,0.6229811419377358
3183,3423454,Leftie,8997,9813,1062,1934,,2072,1344,,13,53,7,yes,0.62278192942656
3184,6925441,jiaxunjason,11396,9359,,1805,yes,1163,1458,,28,125,0,,0.6227717999908439
3185,11860256,amefuri,2731,12185,4730,1751,,5275,1189,,1,2,1,yes,0.6225121298807244
3186,11975464,- Logic -,3001,11994,1981,1860,,5637,1179,,3,3,1,yes,0.6224875434297887
3187,5522259,Astralet,6748,10358,,1839,yes,1592,1392,,22,77,0,,0.622457499447918
3188,13627426,mort,8126,10030,,1828,yes,1428,1412,,29,92,0,,0.620877575721754
3189,6772887,Akane Hime,9102,9791,,1820,yes,1326,1426,,54,192,0,,0.6202110581572831
3190,6638044,Yuume,4785,11026,,1859,yes,2171,1336,,3,5,0,,0.6199690593779574
3191,16218750,Humsterlol,22822,7950,1488,1894,,902,1522,,63,245,6,yes,0.6197145904062766
3192,10669281,niita,3161,11872,4762,1750,,,1418,yes,0,0,3,yes,0.6196660079678566
3193,11635349,JohnPersona,1389,13558,2508,1831,,4732,1205,,7,17,17,yes,0.619558374736795
3194,13800863,Huskiboi7,5704,10659,1946,1862,,,1352,yes,0,0,4,yes,0.6193442260183551
3195,10045291,Tsundoge,1299,13682,,1930,yes,7258,1143,,5,11,0,,0.6192730395077645
3196,4474918,Inugami Korone,3963,11408,,1870,yes,2347,1322,,9,39,0,,0.6190359575107595
3197,5586567,Distracted,3964,11406,,1870,yes,2410,1318,,6,19,0,,0.6186840976492541
3198,18646411,MDPY,3303,11778,,1881,yes,6072,1169,,2,2,0,,0.6186700826912687
3199,20189618,Gobby,1749,13103,7285,1691,,2116,1341,,1,5,4,yes,0.6179564617145817
3200,9766508,AquaRua,8657,9895,1426,1899,,,1304,yes,0,0,12,yes,0.617807508617598
3201,21225796,eXistans,2278,12555,3120,1806,,5257,1189,,1,1,129,,0.617779922359397
3202,7457161,superboygaming,3555,11625,3061,1809,,,1405,yes,0,0,13,yes,0.6175243778032155
3203,12023323,Balma,3353,11745,1350,1905,,4969,1197,,5,15,18,,0.6173149491570376
3204,10718731,rower123,3266,11802,4088,1770,,,1415,yes,0,0,4,yes,0.6171828956170107
3205,26352046,lilybannanas9,3319,11769,1533,1890,,4417,1216,,4,16,31,,0.6169622059241734
3206,12961837,Zedrikk,5973,10580,1719,1878,,,1346,yes,0,0,2,yes,0.6168857327828492
3207,13341254,4Sora,5743,10647,2034,1856,,,1351,yes,0,0,30,,0.6167202809692856
3208,9547561,Mema,3939,11418,6128,1716,,,1393,yes,0,0,1,yes,0.6166787646712838
3209,1799925,Lazer,11982,9262,1039,1936,,1865,1364,,15,49,11,yes,0.6166724376110755
3210,3580864,Narita Brian,3048,11960,,1886,yes,3736,1242,,2,6,0,,0.6166657229215055
3211,24568472,AhmedPlaysYT,3907,11432,6250,1713,,,1394,yes,0,0,1,yes,0.6166379183029008
3212,9507985,dyl,2736,12183,1489,1894,,4412,1216,,6,20,6,yes,0.6164249996265148
3213,15202512,Kyqn,2559,12307,2305,1841,,3688,1243,,2,8,22,,0.6164067263637333
3214,11847973,coolnuck210,2108,12708,,1906,yes,3545,1249,,19,65,0,,0.6163305369644635
3215,15184464,zaizai,3469,11672,3085,1808,,,1408,yes,0,0,15,yes,0.6160817937839462
3216,10773960,Jompa Tormann,3844,11459,2834,1818,,1970,1353,,17,54,8,yes,0.6160559388648946
3217,17952568,California,3875,11444,6396,1710,,,1395,yes,0,0,1,yes,0.6160306589105207
3218,234788,NaRiTA TaiShiN,4592,11101,,1861,yes,2136,1340,,7,26,0,,0.6158878202167187
3219,23360966,cheeseball87,1717,13137,2147,1850,,9049,1109,,3,5,31,,0.6155988574580261
3220,8443347,Shpry,4922,10969,,1858,yes,2322,1325,,1,2,0,,0.6150979191979822
3221,14368290,X_Danilka_X,3470,11672,,1878,yes,4087,1228,,1,3,0,,0.6149062903268354
3222,13687646,snowflake11,2897,12060,3495,1791,,,1428,yes,0,0,16,,0.6139459306487991
3223,14019207,evankkk,1810,13036,,1914,yes,7410,1139,,2,6,0,,0.6139037567910585
3224,12443104,iraozm,5688,10664,1493,1893,,2641,1302,,13,46,30,,0.6138907252020724
3225,1507666,dezodor,5845,10620,2019,1857,,,1349,yes,0,0,19,,0.6134307746926294
3226,12536000,albazz,2467,12378,4171,1767,,,1446,yes,0,0,10,yes,0.6134225984945813
3227,14382553,Xuma,1759,13091,6069,1717,,,1484,yes,0,0,7,yes,0.6132187390226576
3228,10936856,[dragonz],10606,9501,1956,1861,,1271,1435,,14,48,12,yes,0.6129715255775665
3229,21644645,Shrikyun,4116,11325,,1868,yes,2370,1321,,4,19,0,,0.6128772881509987
3230,4291334,Jared on osu,4772,11031,1935,1862,,2516,1311,,4,11,86,,0.6128371676660538
3231,12883611,catgirlflowers,2094,12725,2987,1812,,3427,1254,,1,5,37,,0.6127418252257227
3232,4991744,chokma,6003,10569,,1845,yes,1673,1384,,2,6,0,,0.6127008697660888
3233,11445862,Nyuchikin,2482,12366,1916,1863,,4029,1230,,9,23,37,,0.6126931518496039
3234,15362197,-Cold-,3188,11854,,1883,yes,6939,1150,,1,2,0,,0.6126707547854494
3235,24717776,HAWAzin,2612,12269,2109,1852,,5253,1189,,3,5,12,,0.6124968517439813
3236,27921023,ultravioletRS,3364,11736,3524,1790,,2051,1346,,1,1,6,yes,0.6122575865180537
3237,11610643,KAAAL,8633,9904,1587,1886,,,1305,yes,0,0,54,,0.6121594168160183
3238,12314341,Donksities,3104,11917,3199,1803,,,1420,yes,0,0,32,,0.6121218869964786
3239,12636953,Ruhtray,4559,11115,,1862,yes,3660,1244,,1,1,0,,0.6120497994636329
3240,13349049,okeaoska,3723,11528,,1874,yes,4546,1211,,1,2,0,,0.6119331591813906
3241,8576721,Alparabel,1968,12869,,1910,yes,3981,1232,,15,37,0,,0.611820712576947
3242,11740799,seether,2646,12243,3411,1795,,,1438,yes,0,0,75,,0.6117641558087487
3243,6158076,-YoYo-,2231,12590,4450,1759,,1948,1356,,4,12,10,yes,0.6116400736709346
3244,10554568,--k,4385,11192,,1864,yes,4375,1217,,1,1,0,,0.6114693027683622
3245,5775709,Futile,7093,10268,1714,1878,,,1327,yes,0,0,10,yes,0.6113523304674474
3246,13658988,BenTheBen,4974,10949,3015,1812,,,1367,yes,0,0,1,yes,0.611340284477182
3247,13187450,Caruma,5858,10616,662,1988,,5058,1195,,25,98,15,,0.61086740298718
3248,23213839,Smolcats Freak,6303,10483,1838,1869,,,1340,yes,0,0,6,yes,0.6101383434804337
3249,12200180,cozyin,6703,10368,1763,1875,,,1333,yes,0,0,7,yes,0.6093942840129732
3250,7668715,Gamanoid,4134,11317,,1868,yes,2633,1303,,3,6,0,,0.6093099656137512
3251,11473805,GLBETA,5184,10852,1274,1912,,4654,1207,,2,5,12,yes,0.6091627305876058
3252,9283132,iferq,1448,13460,4392,1761,,6942,1150,,1,2,7,yes,0.6088976447424201
3253,13263768,Afordiumsx,2769,12150,2855,1817,,7903,1130,,1,1,16,yes,0.608391969882726
3254,14094276,dips,11372,9363,1248,1915,,,1274,yes,0,0,26,,0.6078834931655018
3255,18195677,esq,2499,12350,4917,1746,,6928,1150,,1,2,1,yes,0.6078496673899989
3256,13490353,THElegendPLL,2977,12008,7010,1697,,,1425,yes,0,0,2,yes,0.6077273581873142
3257,21536854,Steerius,1261,13746,7706,1682,,,1522,yes,0,0,7,yes,0.6075919765031187
3258,14256364,PineFugger,5137,10873,1097,1931,,6880,1151,,1,3,6,yes,0.607463613162337
3259,12054218,divi,10027,9614,1383,1903,,,1288,yes,0,0,24,yes,0.6072963228395376
3260,10868788,Noa Himesaka,3706,11540,,1874,yes,4715,1205,,1,2,0,,0.6072596751460213
3261,11153458,EndmyL,10651,9495,948,1946,,2259,1329,,2,10,9,yes,0.6071989062739855
3262,8044267,Chaoticy,2763,12155,,1891,yes,6772,1153,,2,3,0,,0.607103401224858
3263,12974032,hoodmoneyswag,1775,13074,8278,1670,,2260,1329,,2,6,3,yes,0.6070597323946547
3264,17950172,babban1,3853,11455,3473,1793,,,1396,yes,0,0,4,yes,0.6068741278055861
3265,13145837,kaedori,33851,7185,795,1966,,1228,1444,,10,40,157,,0.6065580532148029
3266,11557281,aeong,3199,11848,,1883,yes,7116,1146,,1,2,0,,0.60639931643499
3267,9367683,Phel,8616,9907,,1824,yes,1422,1413,,94,316,0,,0.606332331455647
3268,3985234,Avenging_Goose,5803,10630,,1847,yes,1623,1388,,1,2,0,,0.6063043097843074
3269,8503743,Izzeee,4099,11336,489,2017,,6866,1151,,7,21,5,yes,0.6061735223555347
3270,4879380,921206025887,2041,12788,6300,1712,,2730,1296,,3,15,2,yes,0.6061450695950611
3271,13413713,[SHK]ShandenYMD,15840,8695,931,1948,,,1236,yes,0,0,29,,0.6060891075697339
3272,28066609,Nojousse,4556,11119,2947,1814,,,1377,yes,0,0,3,yes,0.6059895515563322
3273,17496335,Saruei,2947,12033,,1888,yes,6023,1170,,1,3,0,,0.6059696261174181
3274,10809086,Xpxp,796,14685,3707,1783,,5636,1179,,6,16,7,yes,0.605818165228231
3275,18740749,Dathian,1975,12863,5228,1738,,,1471,yes,0,0,9,yes,0.6057448456896704
3276,2118945,Lunirs,9274,9756,,1819,yes,1320,1427,,14,59,0,,0.6055541057744951
3277,22735739,Ultimeuhhhh,3297,11782,5174,1740,,2767,1294,,1,4,1,yes,0.604703804376357
3278,13300963,KpoJ1_MoHctp,3500,11655,,1877,yes,5585,1181,,2,2,0,,0.6045249452362529
3279,10804195,Solar722,3995,11389,2430,1836,,2769,1294,,1,4,3,yes,0.6043493008407523
3280,10882967,moyo,5820,10626,1881,1866,,2063,1345,,11,22,10,yes,0.6041658532760998
3281,1027645,- Asriel -,5511,10727,1543,1890,,2558,1307,,5,31,11,yes,0.6038724540053798
3282,19064380,Gallal,7413,10197,1758,1875,,,1322,yes,0,0,19,,0.60381326003126
3283,17911828,Lopakin,8048,10051,1179,1921,,6973,1149,,1,2,38,,0.6035129261077825
3284,8463562,Kopog,6534,10415,760,1971,,4801,1203,,11,33,19,,0.602976148844761
3285,15279191,darvv,2117,12695,5655,1727,,,1464,yes,0,0,6,yes,0.6029365120534944
3286,10830974,Dlanor A Knox,2859,12082,,1889,yes,3997,1231,,3,7,0,,0.6025809684742345
3287,4149140,kallax,2950,12031,4213,1766,,,1426,yes,0,0,6,yes,0.6023188196404133
3288,16638472,effyl,4629,11087,2441,1834,,,1375,yes,0,0,36,,0.6021023087783381
3289,21764744,[ Krat ],639,15144,5644,1727,,4814,1202,,3,6,11,yes,0.6020670639936451
3290,14679805,Zexsch,7635,10145,1723,1877,,,1319,yes,0,0,19,,0.6015319029242384
3291,9426712,browiec,4392,11189,,1864,yes,2655,1301,,2,4,0,,0.6013273216432207
3292,14101917,Xeptral,11371,9363,982,1942,,,1274,yes,0,0,7,yes,0.6009125596281675
3293,3923278,Boggles,4186,11288,,1867,yes,2389,1320,,5,22,0,,0.6006793889442603
3294,13245208,netraena,10531,9516,2060,1855,,1302,1430,,76,297,7,yes,0.6004816412037469
3295,21391459,fish k1ng,5175,10856,2685,1824,,,1363,yes,0,0,1,yes,0.6004684458549425
3296,4688735,neko ds,8451,9946,,1825,yes,1379,1418,,4,23,0,,0.5998354906640493
3297,17476576,Xillerini,4667,11074,4899,1746,,1235,1442,,14,47,7,yes,0.5996782393368306
3298,13175328,Bertilly,1634,13232,,1919,yes,6514,1159,,4,10,0,,0.5993149092769964
3299,13329905,guram azula,4150,11305,5708,1726,,,1387,yes,0,0,1,yes,0.5991042514402514
3300,8541186,-Milky,2281,12553,,1902,yes,3903,1235,,5,21,0,,0.5983185243172116
3301,17440339,0Bread,4367,11201,7148,1694,,1316,1428,,20,79,3,yes,0.5982815320908506
3302,5256529,Nitroz,6694,10370,,1839,yes,1693,1381,,32,112,0,,0.5982018805525149
3303,6749564,Ak1ra,3320,11768,6049,1718,,3048,1275,,1,2,1,yes,0.5977037564481202
3304,11210229,Eniujqd,3083,11930,,1885,yes,8261,1123,,1,2,0,,0.5976780525969781
3305,2473265,Ethelon_,6144,10530,2018,1857,,,1343,yes,0,0,21,yes,0.597186171894281
3306,8112504,Stressed,3282,11793,1557,1889,,5342,1187,,3,6,5,yes,0.5970760748549973
3307,11482346,Chiffa,2061,12766,4342,1762,,,1467,yes,0,0,21,yes,0.5967779670035773
3308,1471889,Airis,4047,11358,6255,1713,,,1390,yes,0,0,1,yes,0.5967309023277328
3309,6646204,Paka,4764,11034,1061,1934,,3878,1236,,9,21,7,yes,0.596725233467402
3310,10355002,lKepler,5345,10788,4590,1755,,1487,1405,,5,23,2,yes,0.5963965922406463
3311,13826890,grkn7,4746,11040,1501,1893,,3009,1277,,5,15,7,yes,0.5961918487967109
3312,14319205,IsAmUxPompa,3600,11600,,1876,yes,5413,1185,,1,2,0,,0.5961390134921851
3313,2200982,muji,5502,10730,,1850,yes,1930,1358,,32,122,0,,0.5960511191225079
3314,6523879,LLIaBKa,1250,13755,2267,1843,,6256,1164,,8,19,18,,0.5958093064337182
3315,10643960,rnuxk,12245,9216,1282,1911,,,1265,yes,0,0,95,,0.5955534503130939
3316,12290117,chantat,2964,12018,4964,1745,,2590,1305,,11,31,1,yes,0.595457690015231
3317,5765583,sxl,6042,10560,,1845,yes,1809,1369,,14,49,0,,0.5953587575903387
3318,26181225,Bigdaddy85,5839,10622,2104,1852,,,1349,yes,0,0,27,,0.5952250307449128
3319,9388258,boy thighs,5010,10931,2394,1837,,,1366,yes,0,0,13,yes,0.595216329892129
3320,4430263,Just2Gud,5617,10688,,1849,yes,1903,1360,,26,81,0,,0.5951911253999468
3321,10488437,Queen,3111,11912,1582,1887,,6716,1154,,2,5,6,yes,0.5950059159201058
3322,7034846,Grin,3018,11980,3642,1785,,,1423,yes,0,0,12,yes,0.594911565052564
3323,13418038,Pissezi,8548,9924,1372,1904,,,1306,yes,0,0,6,yes,0.5944264228329503
3324,7361767,Woodzy,3250,11811,,1882,yes,3904,1235,,3,5,0,,0.594324663167667
3325,13331292,hambolama,3651,11572,,1875,yes,2977,1278,,3,8,0,,0.593558779813287
3326,14332949,now89,4607,11094,2608,1827,,1928,1358,,1,3,11,yes,0.5933783641216641
3327,24010320,Mimosa M,4447,11163,1877,1866,,5836,1174,,1,2,34,,0.5931896888610657
3328,21282552,nomox,7374,10207,,1834,yes,1490,1404,,3,10,0,,0.5931748726981282
3329,10841911,meowioos,615,15225,3812,1779,,7907,1130,,11,28,2,yes,0.5926031331172168
3330,11132582,mellowskies,6729,10361,1635,1883,,4914,1199,,1,1,25,,0.5925840277911374
3331,13161995,-rixia-,5613,10689,613,1996,,7022,1148,,33,156,30,,0.5925742554493433
3332,20705797,Megidy,2121,12694,3489,1791,,3116,1270,,1,2,62,,0.5924911713877227
3333,2539010,ReusoL,3381,11728,3360,1798,,2714,1297,,1,3,4,yes,0.5924705035007425
3334,13985016,zeemo,4750,11040,2903,1816,,,1372,yes,0,0,3,yes,0.5923859641580718
3335,14476889,huncho,3149,11880,5238,1738,,,1419,yes,0,0,3,yes,0.5921143855795553
3336,18195548,hypher47,2415,12417,5536,1730,,,1449,yes,0,0,5,yes,0.5920773736699101
3337,14506326,Pittinger,5049,10914,2799,1819,,1638,1387,,6,20,19,,0.5919815961487971
3338,7217249,Kinoro,8212,10010,,1827,yes,1493,1404,,13,60,0,,0.5919562936320116
3339,15483026,JLC314,2211,12604,8011,1675,,,1459,yes,0,0,3,yes,0.5914521734509408
3340,7563700,SparrowRan,2284,12550,,1902,yes,4567,1210,,5,11,0,,0.5912254794075403
3341,5293630,Toyota Wellman,4725,11051,2909,1816,,2294,1327,,1,3,1,yes,0.591148160554173
3342,16908486,[Axel],2184,12631,1853,1868,,9851,1094,,2,5,17,yes,0.5909078504613868
3343,11362783,123123,7966,10072,1337,1906,,2270,1328,,5,16,9,yes,0.5908415341070775
3344,21447640,Lecky,3280,11794,4950,1745,,,1414,yes,0,0,3,yes,0.5902196258585127
3345,10571662,Jadekick,3424,11706,,1879,yes,4687,1206,,1,3,0,,0.5898597692470658
3346,8379270,Reddd,5694,10662,1517,1892,,2920,1283,,2,5,6,yes,0.5897841672029601
3347,1093361,Kynan,2699,12205,3012,1812,,3745,1241,,2,7,2,yes,0.5897446130627684
3348,2916294,Nevik,2491,12359,1802,1872,,4156,1225,,12,35,7,yes,0.5891045910000908
3349,14099175,Abdulmalik,4345,11212,2425,1836,,3974,1232,,1,1,5,yes,0.589000250511578
3350,12329311,zerkala,3501,11654,5446,1733,,2236,1331,,22,69,1,yes,0.5889928334619229
3351,16626263,mintfantome fan,3658,11568,,1875,yes,2583,1306,,40,153,0,,0.5888987095466683
3352,12133117,Riffee,5152,10865,,1854,yes,2643,1302,,1,1,0,,0.5885634836347182
3353,11382744,turf,7406,10199,1813,1871,,,1322,yes,0,0,19,,0.588266346177333
3354,4922584,Kites,4902,10981,2786,1820,,,1369,yes,0,0,3,yes,0.5882085098275797
3355,6498951,Save Me,5082,10898,,1855,yes,2204,1334,,3,5,0,,0.5880577531605737
3356,8953955,Zelq,3348,11747,,1880,yes,2811,1290,,13,43,0,,0.587969293453909
3357,8874346,kairoun,7221,10240,1814,1871,,,1325,yes,0,0,13,yes,0.5877557865088014
3358,17795498,petalouda,10775,9473,1463,1896,,1864,1364,,77,297,38,,0.5877039824059811
3359,17557184,ShamiruKi,4136,11316,1433,1899,,8313,1122,,1,2,3,yes,0.587577042025572
3360,17310248,Greenmario8,4195,11282,5882,1722,,,1386,yes,0,0,1,yes,0.5875522939968794
3361,1970239,Angel Arrow,9794,9656,,1816,yes,1262,1436,,5,23,0,,0.5875511961359028
3362,10825812,Yasui,3839,11462,6127,1716,,2042,1347,,21,81,1,yes,0.5875451247469108
3363,3868653,waefwerf,5804,10630,,1847,yes,1873,1363,,4,10,0,,0.5875249450431708
3364,14706828,Mito,3106,11915,5443,1733,,,1420,yes,0,0,3,yes,0.5874320590391715
3365,28468140,chrisybray,4162,11299,6044,1718,,,1387,yes,0,0,1,yes,0.5870343110085054
3366,11012589,juststrx,2362,12469,4328,1763,,3533,1250,,4,12,1,yes,0.5866883050150432
3367,16552216,Dacoma,4106,11330,6352,1711,,,1389,yes,0,0,1,yes,0.5866380924692374
3368,18436034,soyruz,2101,12714,,1906,yes,6745,1154,,4,6,0,,0.5845962038208388
3369,7236907,MGM,3119,11905,3933,1775,,2697,1298,,2,4,3,yes,0.584551051084399
3370,9249873,System_error,1695,13161,,1917,yes,5273,1189,,9,19,0,,0.5844264950721717
3371,7745755,Slonlk,4351,11210,3759,1781,,,1382,yes,0,0,2,yes,0.5843193806963332
3372,13926341,- Sasori,2881,12069,1841,1869,,3364,1257,,31,102,4,yes,0.5842217381652345
3373,26486873,Choco001,15076,8793,2027,1857,,987,1497,,6,26,3,yes,0.5840002889932855
3374,14735944,Slde,1342,13618,,1929,yes,8201,1124,,4,10,0,,0.5838575520242266
3375,11447637,rye,1402,13532,6376,1710,,3051,1275,,1,2,7,yes,0.583310102584739
3376,8354698,_tottoko_,4128,11319,,1868,yes,2422,1317,,30,100,0,,0.582934171251061
3377,14180303,FubukiShirakami,3920,11428,1432,1899,,3217,1265,,10,39,4,yes,0.5828093605940569
3378,5325213,KevstracK,3887,11439,,1871,yes,2616,1303,,10,24,0,,0.5826986549609734
3379,11133864,Rekkke,5316,10798,,1852,yes,2113,1341,,1,4,0,,0.5822286035816543
3380,10132876,M4ch1n3,4987,10941,2471,1833,,,1367,yes,0,0,13,yes,0.5820607577550635
3381,29571053,Axeternal,4066,11351,6724,1703,,,1390,yes,0,0,1,yes,0.5820516971082851
3382,5411474,Sickoh,5335,10792,,1852,yes,2103,1342,,1,4,0,,0.5818455382088112
3383,11076938,Mavs,7701,10131,,1831,yes,1595,1391,,24,104,0,,0.5817994903156568
3384,11324759,Lit xd,4050,11358,6831,1701,,,1390,yes,0,0,1,yes,0.5812403976359991
3385,14774102,L9 MATEIUT,2032,12796,2318,1841,,4268,1221,,9,27,2,yes,0.5807565425789691
3386,14582697,HeyCat_,899,14411,,1947,yes,8491,1119,,10,21,0,,0.5805591962235594
3387,18863133,Skiddy07,4399,11187,2892,1816,,,1381,yes,0,0,8,yes,0.580501460336134
3388,18587902,Bubble998,6030,10562,1949,1862,,,1345,yes,0,0,2,yes,0.5803031407056649
3389,7869036,TomoChen,2624,12259,,1894,yes,3617,1246,,6,21,0,,0.5802822470036376
3390,8742653,RukiaKuchiki,6881,10321,1894,1865,,,1330,yes,0,0,12,,0.5798060495031729
3391,18175218,Rum1a,12537,9162,2559,1829,,1018,1487,,9,28,6,yes,0.5795795728080956
3392,10935960,Ketsui,11939,9269,2357,1839,,1168,1458,,12,55,3,yes,0.5793050789677167
3393,16624525,celest,3399,11719,6294,1712,,1438,1411,,1,3,3,yes,0.5791188107192394
3394,12272964,THORWAVE,2316,12517,4040,1772,,5174,1192,,2,5,1,yes,0.5789157835402454
3395,13981291,Pink -,3411,11710,,1879,yes,3036,1275,,5,14,0,,0.5788355347053682
3396,6754712,Cappu,6515,10419,1482,1894,,2624,1303,,8,31,17,,0.5788111455448693
3397,8497340,Jet-,2447,12395,,1898,yes,3817,1238,,7,22,0,,0.5786295698056695
3398,8535398,Aporia,9180,9774,,1820,yes,1375,1419,,9,33,0,,0.5781042899641035
3399,11433313,SAPIN_,2208,12610,2921,1815,,4666,1207,,2,5,10,yes,0.5779897623059791
3400,18126732,joaoxw77,2695,12206,4592,1755,,7363,1141,,1,2,1,yes,0.5779096591437161
3401,19248632,ThugXY28,4299,11233,3166,1805,,,1383,yes,0,0,5,yes,0.5777396109347961
3402,7325012,Sepe,3978,11399,,1870,yes,3098,1271,,1,5,0,,0.5776472830237606
3403,19770259,_sola,1980,12858,2887,1816,,3350,1258,,10,29,18,yes,0.5769850985460134
3404,2374950,GaaL,8465,9942,3661,1785,,1120,1465,,7,14,3,yes,0.5769412126152085
3405,12615304,bouross,3418,11708,3463,1793,,,1409,yes,0,0,12,yes,0.5764799619024931
3406,1893953,Nakano-,3865,11451,,1872,yes,2676,1299,,6,24,0,,0.5747602927871375
3407,2849992,Garden,7007,10288,,1836,yes,1715,1379,,13,59,0,,0.5744698544822923
3408,5724103,Cocada,3354,11743,,1880,yes,7405,1140,,1,2,0,,0.5743209770593478
3409,9489603,pohoenx,3173,11866,3897,1776,,,1418,yes,0,0,8,yes,0.5742015483481329
3410,9791892,hurty,4451,11163,,1863,yes,5587,1181,,1,1,0,,0.5741983643602837
3411,30754555,DamjanLenc,1258,13749,6068,1717,,4707,1206,,1,2,7,yes,0.5741723341997796
3412,1414625,Cinia Pacifica,10657,9494,,1810,yes,1189,1453,,2,15,0,,0.5739579151745019
3413,21389288,crave cute boys,7272,10228,1625,1884,,2439,1316,,1,5,13,yes,0.5737584938484026
3414,18241233,Katoteshi,11900,9277,1283,1911,,,1268,yes,0,0,26,,0.5736557226703283
3415,6473092,kbwaaablya,5147,10868,,1854,yes,2153,1338,,4,17,0,,0.5732701944675722
3416,9583048,Koide,3140,11892,,1884,yes,4125,1226,,1,6,0,,0.5732103097619076
3417,16194997,timmoltommol,9467,9718,1116,1928,,,1294,yes,0,0,4,yes,0.5729606000045893
3418,13902231,zachboi,3267,11802,,1882,yes,5565,1181,,1,3,0,,0.5728973591293703
3419,6402779,Flamiror,5341,10790,2876,1817,,,1359,yes,0,0,1,yes,0.5728260925308715
3420,12483293,twotabby,13349,9037,,1794,yes,1137,1461,,48,221,0,,0.572772013263399
3421,15253040,Mloah,4901,10982,1070,1933,,9128,1107,,2,6,22,,0.5724713157136261
3422,19887890,ThatBoat,2376,12459,5501,1731,,,1450,yes,0,0,6,yes,0.5722015619333606
3423,15206560,viiolet_wasp,9973,9622,,1814,yes,1352,1423,,21,77,0,,0.5714804474803814
3424,15815159,c4w,5725,10651,2234,1845,,,1351,yes,0,0,10,yes,0.5714015739080501
3425,8715313,VenomPuffs,11924,9273,1048,1935,,2106,1341,,18,68,11,,0.5714011559491141
3426,13999629,Cheriatric,2986,12004,832,1962,,6718,1154,,7,14,3,yes,0.5711334056106001
3427,24106040,Lighis,3477,11667,3785,1780,,3412,1255,,1,2,2,yes,0.5710145963713861
3428,21369935,whca,2126,12690,3080,1808,,4173,1224,,3,5,21,,0.5701050509177114
3429,3886466,ARTIZIA,8447,9947,,1825,yes,1525,1400,,18,72,0,,0.5699645364418566
3430,10748529,maksimo4ka92,4018,11373,,1869,yes,4655,1207,,1,2,0,,0.5695713036857376
3431,8457202,layne,9489,9714,1449,1897,,2104,1342,,19,78,23,,0.5694607252884378
3432,18979378,dognut1,4252,11254,4149,1768,,,1385,yes,0,0,2,yes,0.5692785976359327
3433,8941856,laserdik,4838,11006,2840,1818,,,1370,yes,0,0,5,yes,0.568120969892972
3434,7861779,cillian,1731,13126,,1917,yes,5315,1187,,6,21,0,,0.5679202752692436
3435,5271371,Lexion,3612,11594,4232,1765,,1433,1412,,3,11,15,yes,0.5672042194575759
3436,10259647,KazeKitsu,5004,10934,,1857,yes,2289,1327,,2,10,0,,0.567180851763201
3437,20087811,Jolly Ranchers,12591,9152,1957,1861,,1275,1435,,33,159,8,yes,0.5669496244613768
3438,14695197,maez,5163,10862,,1854,yes,3017,1276,,1,1,0,,0.5667621527328153
3439,6033065,MadLad,1908,12929,,1912,yes,6478,1160,,3,9,0,,0.5665990898578182
3440,6566312,Niphora,5109,10886,,1855,yes,2640,1302,,1,2,0,,0.5660638677549724
3441,3339073,- kouyuu -,8506,9934,1211,1919,,2531,1310,,54,187,12,yes,0.5657951458666003
3442,9589295,Notpyon,3885,11439,,1871,yes,2764,1294,,6,19,0,,0.5657582127154541
3443,7851281,Pillows,4232,11261,,1866,yes,4124,1226,,1,2,0,,0.5655625486837438
3444,11124422,neimon,3347,11750,5414,1734,,3267,1262,,2,3,1,yes,0.5655229618350849
3445,33125535,rafah,3666,11565,3521,1790,,,1401,yes,0,0,8,yes,0.5651182745344495
3446,11189917,-Azure,7747,10120,1020,1938,,2545,1308,,6,21,4,yes,0.5648854226611977
3447,16203563,Kysonn,3693,11547,3579,1788,,,1401,yes,0,0,7,yes,0.5648508649073066
3448,2477387,Tabris,5459,10748,2793,1820,,,1356,yes,0,0,1,yes,0.5647318664882989
3449,6600809,Walfrid,2906,12056,1009,1939,,4139,1225,,49,206,2,yes,0.5643587575527996
3450,8666421,thacer,19189,8304,876,1956,,2151,1338,,7,39,86,,0.564320690264823
3451,6098054,myobash,2696,12206,,1893,yes,3850,1237,,4,16,0,,0.5641601518043012
3452,22329551,HYUNG JOO,5140,10872,,1855,yes,2610,1304,,1,2,0,,0.5639721202928716
3453,24387999,-Mahiro,1138,13948,,1937,yes,8569,1117,,5,14,0,,0.5635015262878462
3454,5946601,ranlore,5176,10855,1241,1916,,3630,1246,,5,16,7,yes,0.5634706363148846
3455,8660120,Truc,7024,10284,,1836,yes,1657,1385,,3,9,0,,0.5632474260258618
3456,10931807,CanaShii,3458,11680,5051,1743,,2875,1286,,2,5,1,yes,0.5632315151810852
3457,5281857,Rushy,4776,11029,,1859,yes,2328,1324,,10,27,0,,0.5629260657688651
3458,11969374,deit,2721,12193,,1892,yes,3838,1237,,6,16,0,,0.5628026862241076
3459,11752694,Bitiksquid,2111,12705,3241,1802,,3321,1259,,6,15,10,yes,0.5626199477564294
3460,14044852,ilusha1908,2374,12459,4614,1754,,5785,1176,,1,1,5,yes,0.5624889120170766
3461,4751054,_Hikaru_,7285,10226,1803,1872,,,1324,yes,0,0,6,yes,0.5622980313908679
