hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
124,11415687,Kurumiw,59,20650,270,2076,,146,2006,,21,87,15,yes,3.3076768911379144
125,9719351,minefieldsurfer,605,15260,105,2174,,116,2074,,73,327,14,,3.304282245955756
126,9459674,maxim,260,17205,99,2181,,162,1983,,103,434,8,yes,3.2816997915337383
127,10092099,Pablohh,238,17376,,2009,yes,137,2025,,10,56,0,,3.2811138908189266
128,11042418,lystia,1677,13188,30,2281,,160,1984,,35,143,73,,3.272181316543425
129,22274174,CUPSIZEFAN,96,19468,,2046,yes,189,1952,,6,26,0,,3.2719680468042753
130,5774823,Rupertion,192,17846,116,2166,,165,1980,,36,161,3,yes,3.268796564685262
131,5182050,Bubbleman,167,18159,102,2177,,194,1948,,89,466,5,yes,3.258162285929899
132,10333154,synoxa,147,18429,,2028,yes,168,1974,,9,34,0,,3.2356742483822
133,15816872,Ledeau_Fox,140,18562,,2030,yes,166,1978,,6,21,0,,3.230335962478395
134,14035920,Rikuima,595,15298,77,2207,,154,1989,,41,168,17,,3.2169798990151732
135,9970083,cloutiful,23,24069,106,2174,,651,1617,,1,2,1,yes,3.2041339451917294
136,20250190,orngoos,396,16213,,1986,yes,133,2035,,28,89,0,,3.198161530687391
137,7780605,Fleh,158,18272,288,2067,,135,2030,,49,183,11,yes,3.1975404446567826
138,3149577,Coreanmaluco,401,16198,,1986,yes,136,2025,,126,532,0,,3.1946766521682246
139,8359561,ronipan,314,16727,45,2253,,321,1819,,73,249,54,,3.1697324510027576
140,11496364,JappaDeKappa,17,24572,,2123,yes,1512,1402,,1,1,0,,3.1666981196298933
141,251683,Musty,1014,14182,150,2139,,104,2094,,55,251,22,,3.1618020685505384
142,9642774,milktea0019,51,21179,188,2117,,271,1864,,17,72,21,,3.161494026208273
143,7959945,calebshucks,297,16868,562,2005,,91,2113,,42,171,7,yes,3.160178224554838
144,8964050,GAO HAO,5726,10651,69,2217,,67,2181,,31,139,21,,3.15769868122669
145,12254421,ZaNy_,1834,13010,,1914,yes,76,2156,,41,173,0,,3.1473632455912526
146,14097024,thank you,102,19395,200,2112,,218,1919,,16,59,9,yes,3.145197488742049
147,15225729,-IZZY,212,17586,794,1967,,112,2079,,41,139,4,yes,3.1442444033408985
148,2323131,fedoragoose,389,16250,112,2168,,188,1954,,45,166,40,,3.1430679305505937
149,12701607,noncycle,490,15756,42,2256,,289,1847,,76,254,33,,3.138528840795699
150,3345902,Varvalian,222,17520,,2011,yes,185,1957,,34,171,0,,3.1364596180041913
151,18092331,Lesperry,611,15246,,1966,yes,127,2046,,56,243,0,,3.135618358022833
152,10634348,EthantrixV3,835,14573,498,2015,,59,2204,,68,290,12,yes,3.130181929940928
153,23179637,ozbert,240,17361,74,2212,,282,1853,,18,70,16,yes,3.1201013916715126
154,11794209,POMAH,1427,13492,118,2165,,115,2075,,39,137,17,,3.1144400522825757
155,7027766,Chipori,245,17344,190,2116,,171,1969,,25,105,8,yes,3.1118134836275866
156,13057699,z9a,107,19228,97,2183,,325,1817,,25,79,16,yes,3.1112233669335754
157,8856806,ChocoPafe,38,22108,144,2141,,375,1773,,10,34,10,yes,3.1040358816488087
158,7627844,Mahmood,141,18559,255,2086,,223,1916,,30,116,1,yes,3.0952879285054307
159,5218178,MALTESER,116,19018,818,1964,,209,1929,,59,263,1,yes,3.09083135885198
160,10325072,Oly9919,1603,13265,73,2214,,156,1987,,109,438,22,,3.065937231597097
161,11959709,CallMeRed,1490,13400,308,2060,,74,2157,,50,179,7,yes,3.0459077161300474
162,9561644,AllyrD,361,16404,,1990,yes,173,1968,,23,93,0,,3.038149232142472
163,12241010,Tutel,228,17451,86,2194,,274,1857,,13,51,6,yes,3.031088742743944
164,12976255,NYASH,256,17236,354,2047,,167,1976,,12,46,2,yes,3.030896041674778
165,7333471,nuxx,632,15175,,1964,yes,145,2009,,52,181,0,,3.0227326678471407
166,4637369,Petit,465,15873,357,2046,,138,2023,,16,57,2,yes,3.013676354374259
167,10903510,trumpatino69,118,18975,214,2104,,258,1871,,33,118,9,yes,3.0068949363718764
168,11269055,Swiq,197,17773,3961,1774,,100,2107,,76,298,3,yes,3.0059589424329474
169,2758279,Rumyndra,1955,12881,191,2115,,98,2108,,61,211,31,,3.001862340407569
170,5447609,Demonical,284,16980,,2001,yes,214,1925,,32,114,0,,2.9885693227580123
171,11234706,ZeitFrost,1361,13593,81,2204,,196,1945,,68,274,18,,2.9764536453130326
172,9138046,Tokii,1317,13649,,1929,yes,122,2061,,35,155,0,,2.969435234312056
173,8816345,Vudek,27,23233,,2104,yes,508,1683,,3,12,0,,2.967051559977481
174,14100781,hav,1708,13148,,1917,yes,110,2083,,31,137,0,,2.9588124407217897
175,20501126,6Nusu9,1468,13432,,1924,yes,119,2068,,37,151,0,,2.9587748748251737
176,1906975,Hellotomlol225,3295,11783,35,2269,,200,1942,,13,53,26,yes,2.9576172562075946
177,5155973,Rizer,367,16377,59,2230,,302,1838,,23,129,5,yes,2.957566303028236
178,4301976,Hifkil,397,16208,284,2070,,161,1984,,53,225,9,yes,2.9562288819851257
179,15429006,palr,849,14538,421,2031,,95,2110,,12,57,8,yes,2.952693908872766
180,13959253,Zucchiniii,1899,12938,,1912,yes,102,2098,,15,79,0,,2.9499251674319815
181,18217876,ESCRUPULILLO,1108,14012,104,2175,,197,1945,,50,172,24,,2.9472832774892774
182,25626082,Satsukiiii,784,14740,115,2166,,180,1963,,15,60,5,yes,2.945051414801266
183,12147277,-Kedama,530,15530,134,2147,,211,1928,,46,180,7,yes,2.9413214226383073
184,5177569,yip,1610,13254,430,2029,,83,2133,,73,268,6,yes,2.9337564334494477
185,5403374,dasdwqdf,940,14333,,1945,yes,143,2011,,64,282,0,,2.9292019535228944
186,7972980,-Din-,312,16728,,1996,yes,227,1911,,49,180,0,,2.9273351453537497
187,11383358,Drxvmik,76,19977,208,2106,,351,1796,,8,29,14,,2.9213391345571598
188,14715160,cryshina,1,34770,216,2103,,2012,1349,,8,18,10,yes,2.9202178695771135
189,31507014,kemsi,298,16865,137,2145,,280,1854,,11,45,21,,2.913079474968812
190,6404488,bocchicookie,431,16049,471,2021,,149,2001,,68,225,5,yes,2.911690191551346
191,24270105,-lion,968,14288,128,2152,,202,1940,,65,256,36,,2.9116811837232826
192,15173952,BATBALL,2866,12078,,1889,yes,90,2114,,68,329,0,,2.9092333193792292
193,15803625,twennity,1374,13576,50,2241,,284,1852,,23,67,24,,2.8943216081637453
194,3257847,MyzeJD,3824,11467,53,2236,,193,1950,,77,343,34,,2.886600521757021
195,8581210,8581210,265,17136,240,2094,,237,1890,,64,208,14,yes,2.886588251778827
196,15885344,nooneloves,354,16451,,1991,yes,221,1918,,9,37,0,,2.877818178503132
197,16750823,spray-,1352,13607,62,2228,,296,1843,,10,31,65,,2.8769244491471104
198,12796317,oPixay,983,14240,64,2227,,317,1822,,19,79,21,,2.8549439577947435
199,10069909,tsunagite,518,15615,806,1965,,144,2009,,64,253,3,yes,2.8521041678790873
200,10077132,monte,206,17660,133,2148,,376,1772,,38,119,31,,2.8408479710671073
201,17917574,eddy,850,14538,182,2121,,198,1944,,28,125,9,yes,2.8305605095663635
202,9276293,EzChock,537,15510,126,2156,,255,1872,,62,239,5,yes,2.8236874848155633
203,16870029,vljoy209,335,16551,131,2150,,310,1827,,64,172,7,yes,2.8215914254470933
204,25011352,Smudgy24,1216,13800,457,2024,,82,2134,,2,17,5,yes,2.8181416716006775
205,11854446,Markrum,4266,11247,,1866,yes,86,2127,,62,291,0,,2.816486236547996
206,14764185,Mike Tyson,148,18416,101,2179,,468,1706,,14,49,12,yes,2.8146246291298644
207,12366071,bsm,270,17092,2076,1854,,134,2035,,34,125,4,yes,2.812984070420021
208,2537924,DazzLE_Wind,1007,14197,,1942,yes,159,1984,,18,80,0,,2.810644978562626
209,22536015,shwq,520,15612,155,2137,,250,1877,,36,140,5,yes,2.80460970980024
210,7178423,Teacchyyy,320,16665,474,2021,,215,1925,,13,42,3,yes,2.797346106723649
211,10507706,young leosia,705,14968,84,2195,,365,1779,,24,77,78,,2.79654662425187
212,6725771,Cloudpaw,19,24311,96,2183,,2458,1315,,3,7,31,,2.7957585648634606
213,4740837,godzilla,4583,11105,,1862,yes,85,2131,,43,184,0,,2.793306044608527
214,7657831,justman,532,15524,,1972,yes,225,1912,,30,137,0,,2.7922529062065804
215,4659319,seegii,1648,13220,217,2103,,148,2002,,77,309,7,yes,2.7902528945321468
216,16320893,Dever,69,20294,57,2233,,820,1545,,83,368,21,,2.782012032312857
217,11091594,Thatnoobguy,1446,13460,817,1964,,124,2057,,45,203,2,yes,2.776874535078631
218,12667143,Rykic,340,16524,480,2019,,192,1950,,26,87,11,yes,2.774923449509751
219,2590257,wudci,154,18349,875,1957,,308,1831,,37,155,1,yes,2.7711802224494466
220,9849451,NaPiii_,81,19839,258,2084,,,1832,yes,0,0,3,yes,2.770776196880173
221,7410343,Xaver,302,16849,,1999,yes,273,1861,,10,34,0,,2.7693673719723373
222,9086565,Kosiarek,1154,13927,247,2089,,175,1967,,78,242,27,,2.7582421592145776
